likes,comment,share,followers,engagement rate,date,month,year,time,average likes,comment ratio,average comments
3890,804,496,397057,2.35,23/12/2022,September,2022,20:19,2006,0.52,100
6674,141,491,694978,2.45,19/08/2021,June,2022,14:42,7801,0.68,111
8552,846,466,259392,0.71,02/02/2021,June,2020,15:48,6463,0.17,144
4244,641,180,150522,1.15,30/11/2022,December,2020,19:42,44,0.08,174
5741,291,199,859012,2.25,15/03/2022,July,2022,0:38,403,0.76,641
4709,866,15,613373,7.49,25/05/2020,April,2022,6:35,7623,0.96,904
7386,464,314,214716,6.24,23/08/2021,January,2022,6:43,9100,0.16,989
9582,215,375,354293,3.93,02/08/2021,October,2021,16:18,6970,0.57,851
1403,661,145,621887,8.63,22/04/2022,August,2021,19:42,2006,0.14,391
9474,656,34,523157,8.75,08/07/2020,April,2021,14:02,4345,0.57,922
8387,382,355,368910,9.14,25/10/2020,February,2020,6:24,6225,0.24,764
6575,3,233,295041,9.37,02/09/2020,April,2020,21:08,769,0.55,656
4798,357,245,985170,4.12,14/04/2021,July,2021,9:22,8325,0.96,505
733,229,233,614516,6.09,05/12/2021,November,2021,12:12,8954,0.71,888
66,964,399,247844,1.84,10/01/2022,April,2021,3:04,359,0.65,836
7546,898,45,768905,0.36,13/04/2022,June,2021,10:31,3513,0.28,523
2781,379,98,285009,8.72,06/11/2022,September,2021,20:40,2034,0.54,389
3050,477,136,217488,8.09,24/01/2020,September,2022,15:55,9891,0.06,668
273,304,414,132184,6.61,01/02/2021,March,2020,1:27,2497,0.11,411
8975,693,493,189291,3.23,19/03/2022,May,2020,14:38,6633,0.55,236
7134,954,389,887099,0.36,20/08/2021,April,2021,7:45,9219,0.61,72
355,922,358,149074,5.57,03/12/2022,November,2022,6:13,1203,0.78,141
3435,77,329,969418,1.21,13/02/2022,June,2022,18:15,4679,0.93,42
2792,431,233,477634,6.06,12/05/2022,April,2022,9:33,5484,0.11,512
828,360,40,635730,3.59,06/09/2022,August,2022,9:22,5178,0.71,936
9223,234,266,114948,0.89,28/09/2022,December,2022,11:03,8567,0.01,66
5775,533,35,915976,7.88,29/11/2020,October,2020,4:21,3210,0.77,344
5758,173,237,384194,3.98,10/12/2020,October,2020,23:21,2616,0.19,651
2706,821,125,196000,3.98,23/09/2022,December,2022,7:06,6577,0.96,870
4284,845,102,249480,0.62,27/02/2020,September,2020,13:00,9352,0.63,653
9916,463,133,519432,2.91,07/03/2021,August,2020,4:43,1292,0.93,589
3580,247,450,420226,0.07,31/03/2022,May,2021,18:05,3601,0.22,184
336,330,194,789352,5.53,08/09/2020,October,2020,18:05,4591,0.19,267
8226,776,115,945401,1.8,14/04/2021,December,2022,2:19,1,0.14,961
8873,510,79,963647,9.86,25/07/2020,August,2020,12:12,7372,0.74,389
1238,511,357,350418,6.32,09/04/2021,March,2022,1:22,250,0.65,397
6954,887,500,626510,9.75,04/11/2021,January,2021,8:49,9948,0.77,216
2913,633,138,309997,0.96,25/03/2020,January,2020,16:37,5790,0.02,420
8423,250,175,448525,4.41,13/01/2021,May,2022,22:29,9680,0.23,143
4518,684,458,573501,3.61,13/08/2021,February,2022,21:57,6991,0.89,440
6436,997,434,531873,6.9,12/11/2020,March,2021,21:19,8311,0.81,378
3255,880,295,132678,3.3,22/07/2021,August,2021,4:09,3982,0.39,239
162,980,229,937118,8.96,22/11/2021,October,2021,19:31,6583,0.6,900
8657,163,467,696351,3.93,29/08/2022,September,2021,22:40,4409,0.52,867
5351,2,454,265948,0.29,31/12/2020,April,2022,13:11,2850,0.43,476
3856,626,291,729907,3.87,24/03/2021,June,2021,11:07,5413,0.35,54
1689,80,315,757530,2.03,30/10/2021,February,2020,1:08,5024,0.35,631
7617,846,464,330859,2.27,27/05/2020,November,2022,1:41,39,0.92,628
7594,860,237,450990,6.49,06/06/2022,April,2020,7:52,4545,0.58,780
1499,780,363,402738,9.6,03/09/2022,November,2022,14:01,1956,0.78,261
4789,231,354,511689,2.74,10/04/2021,January,2022,10:01,2713,0.61,889
2728,46,337,378499,9.17,11/04/2021,February,2020,2:22,2439,0.56,414
8606,861,225,984582,4.53,13/11/2022,September,2020,1:19,6654,0.16,425
7138,255,438,471590,0.48,28/04/2021,March,2021,21:48,3708,0.66,860
4712,839,469,680017,2.66,21/06/2021,April,2020,2:04,7660,0.71,530
9879,654,443,271449,6.5,17/03/2020,January,2022,20:41,785,0.38,553
787,328,3,289981,9.2,17/01/2022,April,2020,13:29,3361,0.25,427
7449,647,111,879250,9.39,14/04/2022,March,2020,17:05,6478,0.32,962
2794,125,444,326203,8.89,07/08/2022,March,2020,15:22,1620,0.28,916
9065,80,444,567392,7.45,09/06/2021,October,2022,1:15,4250,1.0,600
1854,212,233,909353,8.28,17/08/2021,January,2020,8:05,6592,0.57,321
162,888,109,555210,4.6,14/03/2021,July,2020,16:39,9804,0.07,756
3442,697,183,199762,4.73,27/09/2021,April,2020,11:30,1587,0.34,222
2353,570,328,124601,5.91,17/04/2021,April,2021,14:31,2260,0.85,192
7220,167,283,479760,5.11,23/09/2020,March,2020,9:38,9509,0.58,692
6736,301,232,907572,5.07,10/09/2022,December,2021,15:11,607,0.81,908
2481,311,469,46395,9.7,16/01/2021,June,2022,13:18,5080,0.27,891
9010,487,165,142627,6.39,27/09/2020,October,2021,16:54,4485,0.21,889
3037,555,293,849902,5.24,19/05/2021,July,2020,11:20,1426,0.97,427
2712,162,354,837379,8.68,03/04/2021,July,2022,16:14,3819,0.49,786
4267,270,296,707425,6.49,03/05/2022,June,2021,2:30,4306,0.41,849
4929,927,117,290752,5.75,24/02/2021,October,2021,0:44,996,0.55,967
162,611,396,629079,0.89,23/03/2020,May,2021,23:34,8407,1.0,795
9911,303,241,675880,5.19,17/01/2021,June,2021,16:47,8584,0.92,261
930,361,203,795255,0.74,11/03/2022,February,2022,1:12,4584,0.4,733
7516,681,48,334080,9.25,26/12/2020,September,2021,7:23,6461,0.26,554
732,283,271,173483,6.11,13/04/2020,July,2020,16:37,1866,0.01,967
6371,961,79,152022,1.72,04/12/2022,May,2022,4:50,8487,0.95,468
9842,291,133,192777,2.92,25/06/2021,November,2020,3:24,9224,0.51,792
7575,572,157,12844,9.42,03/10/2021,February,2021,4:20,4441,0.54,807
133,389,276,312595,0.03,22/06/2022,February,2021,2:45,5894,0.23,364
6574,388,438,818354,2.99,24/08/2022,December,2021,9:42,338,0.9,76
7805,504,434,674825,9.08,07/07/2020,September,2021,14:51,9518,0.6,391
5177,133,486,209049,7.13,12/11/2021,May,2021,4:20,1267,0.0,206
7312,499,339,121935,3.39,09/06/2021,August,2020,20:15,9098,0.33,372
6666,233,198,703345,3.47,02/11/2020,February,2021,18:31,489,0.07,644
6618,347,474,738928,7.88,06/05/2020,March,2021,16:46,5708,0.62,956
8414,915,356,4203,1.09,12/08/2021,October,2021,7:20,6973,0.44,691
4030,840,258,303003,2.49,10/04/2021,June,2020,9:04,759,0.05,272
2367,37,409,235142,4.1,29/09/2021,August,2022,17:03,7400,0.84,479
6659,9,302,769990,7.18,06/07/2020,May,2020,1:25,8307,0.76,988
6675,12,83,625071,7.28,26/02/2022,March,2020,19:47,9519,0.76,740
4573,213,47,716538,3.51,13/10/2022,December,2020,1:14,8497,0.45,828
1838,992,155,824120,4.49,26/07/2020,September,2020,1:53,1135,0.97,937
1256,120,337,732471,6.31,27/05/2020,November,2022,22:01,7360,0.9,303
7987,431,296,407646,3.16,05/03/2022,January,2020,16:25,6770,0.71,537
1727,485,381,905428,9.97,03/12/2020,April,2022,16:46,6100,0.73,615
2505,36,21,865534,7.86,19/02/2021,August,2022,19:53,4042,0.77,380
2839,104,474,257059,6.99,29/10/2020,February,2022,6:33,3569,0.36,400
3476,347,315,75867,8.93,19/06/2021,September,2022,18:05,5279,0.84,571
2149,221,481,242778,8.13,23/10/2021,November,2020,22:14,3700,0.07,976
706,109,367,496420,1.14,03/12/2022,August,2020,15:36,5138,0.3,889
1654,216,430,873061,8.42,26/07/2021,April,2021,15:26,1399,0.28,418
5791,590,414,540912,1.57,12/09/2022,August,2020,3:28,2401,0.41,725
8232,103,127,641011,7.8,18/01/2022,April,2021,1:34,7935,0.71,815
7122,447,178,540955,5.47,10/07/2020,September,2021,4:06,6845,0.57,20
5547,606,445,235246,8.08,01/01/2020,April,2020,6:04,9455,0.0,77
6655,880,37,700295,7.7,15/09/2021,August,2022,20:40,665,0.37,731
2883,262,40,87384,0.82,30/04/2022,November,2022,23:41,1546,0.66,163
5621,121,444,322512,6.78,13/05/2021,February,2022,11:13,1987,0.69,610
1693,245,478,991187,9.82,04/10/2022,November,2020,0:16,3190,0.91,211
6122,209,308,887602,7.01,28/04/2022,March,2020,9:13,6714,0.38,458
6944,629,446,271145,6.9,20/12/2021,February,2021,20:51,3276,0.98,258
114,954,263,349331,9.74,16/12/2022,May,2020,23:09,5436,0.11,516
2006,198,352,711272,0.92,21/02/2022,November,2021,23:40,3607,0.34,705
9434,314,494,828096,0.88,27/06/2022,April,2021,18:06,7759,0.0,504
4649,59,112,454697,5.86,15/01/2021,February,2020,19:44,3756,0.52,332
8192,458,12,690345,9.29,24/02/2022,June,2021,21:36,1861,0.09,720
9381,933,177,438719,9.85,26/12/2020,May,2020,13:11,2815,0.84,928
5331,977,410,260557,8.35,12/07/2021,December,2021,3:43,9294,0.39,641
9331,579,420,122743,2.36,09/12/2020,April,2022,23:33,8620,0.43,633
9985,539,254,251184,0.96,31/07/2020,October,2021,17:14,801,0.29,61
9781,115,240,847697,4.99,19/01/2020,August,2021,7:01,9860,0.79,916
1560,364,409,251144,4.22,10/08/2022,July,2020,14:48,1477,0.19,51
4450,982,406,99455,4.59,27/01/2022,October,2021,0:25,7574,0.93,121
3224,332,194,389183,2.33,18/11/2021,October,2020,9:28,6073,0.83,953
53,363,226,460777,0.82,26/10/2021,February,2020,9:31,3136,0.02,619
4839,296,493,609275,0.5,20/02/2021,June,2022,8:34,2712,0.64,723
3893,453,210,3690,8.94,13/02/2021,January,2021,15:02,4964,0.81,356
1702,765,345,861782,2.26,19/06/2020,July,2020,9:26,8266,0.35,832
7869,316,9,469378,3.71,27/02/2021,December,2020,11:02,9405,0.07,642
6593,765,303,921894,5.78,05/06/2022,October,2021,0:20,4561,0.85,26
3801,731,11,687193,1.61,25/05/2021,April,2020,2:53,9265,0.62,252
9612,972,363,178881,8.53,21/07/2022,March,2021,2:40,624,0.66,565
6425,706,282,299762,4.25,11/11/2021,December,2020,18:34,5280,0.37,488
4456,625,225,364213,0.79,04/01/2020,June,2022,20:32,2765,0.46,156
5104,392,214,944338,3.57,15/06/2022,July,2022,16:51,1881,0.1,722
506,968,139,390867,8.81,18/11/2021,July,2021,22:02,4990,0.11,871
9372,34,396,345714,1.36,03/12/2021,August,2022,18:08,7885,0.14,716
7540,50,314,291633,9.3,07/01/2021,November,2021,3:15,6551,0.26,189
808,912,377,451357,5.66,11/11/2020,August,2021,8:52,7432,0.47,510
2702,80,301,142191,2.86,05/08/2020,September,2020,4:45,8692,0.41,639
6392,368,312,826568,8.64,26/09/2022,February,2020,0:06,578,0.6,741
5165,716,349,274215,1.62,21/06/2021,September,2020,9:11,3405,0.3,913
1533,294,383,684555,4.92,14/03/2022,January,2020,23:42,4726,0.73,84
9502,851,334,794261,5.53,24/08/2021,August,2020,12:19,2726,0.16,841
5247,475,147,161820,5.6,15/10/2020,April,2021,6:12,5513,0.64,930
2568,297,142,738403,1.99,23/09/2022,May,2020,12:47,5988,0.41,813
6389,97,398,799428,1.97,24/11/2020,February,2022,18:46,1732,0.36,855
441,767,335,131974,2.6,22/05/2022,September,2022,2:35,6670,0.87,181
7463,543,386,565401,7.4,16/11/2022,February,2022,4:55,7858,0.74,40
9775,375,391,604774,9.47,05/08/2020,April,2020,13:30,5382,0.27,821
8838,239,469,411461,2.66,29/09/2021,March,2022,12:44,1646,0.2,382
106,153,149,353304,8.45,10/03/2022,June,2020,1:06,4572,0.21,474
1313,644,85,935339,2.18,25/12/2021,March,2020,2:11,1806,0.4,927
2796,48,211,325796,6.48,17/01/2020,May,2021,8:29,4451,0.14,174
2704,370,453,582128,1.96,28/08/2020,February,2020,17:30,7864,0.18,867
5499,648,211,152,6.92,20/10/2020,March,2021,11:37,4689,0.7,209
7094,721,245,567187,2.54,12/06/2022,July,2022,7:12,4895,0.86,597
4856,440,74,906032,4.63,25/12/2021,March,2022,14:00,6981,0.78,220
391,256,304,738605,9.86,09/04/2021,February,2020,19:00,7389,0.88,686
9721,547,268,619016,5.12,23/02/2022,June,2020,4:36,900,0.94,145
83,4,43,195813,3.76,13/07/2020,July,2022,19:46,4586,0.05,387
4046,783,144,366371,3.52,06/12/2022,July,2022,22:14,306,0.35,668
9143,311,434,285107,8.64,04/07/2022,January,2021,9:29,6877,0.85,559
1071,567,41,662044,4.06,03/12/2020,May,2020,11:39,1567,0.98,651
54,949,429,161837,2.17,07/11/2021,January,2022,2:06,575,0.07,105
3302,2,128,937034,4.46,17/11/2020,February,2022,15:54,4230,0.66,554
8215,396,8,308422,1.59,12/11/2022,April,2020,10:37,6984,0.52,489
8993,175,96,116443,3.14,02/12/2020,May,2020,23:57,5209,0.27,396
6658,549,212,418686,2.58,04/06/2020,February,2021,2:33,2188,0.15,857
7024,881,149,512672,9.8,27/06/2022,December,2021,14:12,1718,0.47,455
5606,170,297,983894,6.3,04/05/2020,January,2020,2:11,5809,0.09,505
4329,364,421,158787,8.58,29/12/2022,August,2020,4:45,153,0.76,980
5036,348,131,477396,8.4,08/11/2022,October,2022,5:43,7350,0.71,990
3637,906,187,5664,6.49,28/03/2020,November,2021,3:45,1237,0.24,755
45,303,60,987334,1.27,19/11/2021,April,2021,6:42,849,1.0,766
8788,644,49,529202,9.8,11/01/2020,January,2022,18:48,1277,0.58,907
309,167,376,744228,6.39,12/05/2021,June,2021,0:21,8635,0.72,266
5038,136,38,612577,9.76,05/09/2020,February,2020,21:05,5507,0.85,314
4371,210,391,129560,1.44,08/11/2020,August,2020,8:36,1895,0.88,342
2905,460,58,617867,6.26,09/03/2022,August,2020,5:58,7447,0.72,817
6952,744,32,111035,9.74,03/12/2020,March,2022,11:02,8687,0.41,373
8437,513,133,624896,5.43,22/01/2021,October,2021,18:55,6636,0.87,376
669,98,108,981066,2.25,01/03/2022,January,2020,4:27,5193,0.64,757
3522,268,364,999736,8.12,01/11/2020,April,2022,1:56,954,0.43,229
9945,811,66,809910,5.46,19/07/2021,April,2020,17:06,4019,0.72,149
3333,355,243,37150,3.93,18/07/2020,February,2021,1:27,6965,0.86,417
1274,413,204,716361,3.11,07/06/2022,May,2022,23:14,5457,0.82,674
3334,290,36,544252,0.29,21/05/2020,August,2021,19:21,8935,0.06,647
4466,208,134,651514,7.84,07/12/2021,November,2021,3:53,528,0.94,106
5577,807,476,936143,6.24,25/01/2022,December,2020,7:21,6146,0.75,301
1378,637,326,144151,9.15,31/08/2021,October,2021,9:14,9837,0.69,377
3757,77,164,352882,7.94,13/07/2022,March,2022,2:03,2926,0.07,797
3424,526,82,37570,9.86,29/03/2021,November,2021,22:21,1302,0.57,37
4335,616,475,827343,6.33,11/07/2022,February,2022,0:57,9242,0.45,105
6702,123,380,175326,4.87,17/04/2020,May,2022,8:52,715,0.59,162
143,178,419,123660,2.64,08/04/2022,September,2021,11:56,9026,0.33,926
7674,643,410,827697,8.39,26/12/2020,June,2021,23:56,1816,0.08,769
6630,640,117,591147,8.0,13/09/2020,August,2022,14:28,6630,0.27,537
4619,616,150,416952,4.63,07/02/2021,August,2021,12:49,6930,0.19,115
7011,55,437,144395,9.16,08/10/2022,October,2021,3:52,3855,0.36,461
614,462,71,224752,4.82,18/04/2022,December,2022,0:48,4432,0.74,394
2020,775,407,845798,0.46,24/06/2022,February,2020,2:27,1848,0.47,420
5834,739,213,694180,9.64,24/03/2022,February,2021,11:05,4874,0.72,952
